shopid,username_toko,lokasi_toko,itemid,produk,stok,terjual,histori_terjual,brand,jml_like,harga,harga_min,harga_max,harga_min_sebelum_disc,harga_max_sebelum_disc,diskon,url_produk
32931558,lapak_souvenirundangan,KAB. WONOSOBO,7593653196,PROMO !!! Souvenir Pernikahan Wedding Nikah - Souvenir Tas Blacu Full Color - Souvenir Tas Custom,19887,1150,9363,,705,3300.0,3300.0,5300.0,0,0,,https://shopee.co.id/PROMO-!!!-Souvenir-Pernikahan-Wedding-Nikah---Souvenir-Tas-Blacu-Full-Color---Souvenir-Tas-Custom-i.32931558.7593653196
293704172,gibran.store,KAB. KEBUMEN,5857632659,Sling Bag Efg - Problem - Goks - Skymo ~ Tas Selempang Pria dan Wanita,2545,1149,4516,,2063,55000.0,55000.0,55000.0,110000.0,110000.0,50%,https://shopee.co.id/Sling-Bag-Efg---Problem---Goks---Skymo-~-Tas-Selempang-Pria-dan-Wanita-i.293704172.5857632659
79884755,garasifotoprinting,KOTA SURAKARTA (SOLO),10045572065,Pouch Brown Tas Kosmetik Multi Fungsi - Tas Travel Pack Tali Serut Anti Air Sepatu Peralatan Mandi,525,1143,9270,,232,1000.0,1000.0,1260.0,0,0,,https://shopee.co.id/Pouch-Brown-Tas-Kosmetik-Multi-Fungsi---Tas-Travel-Pack-Tali-Serut-Anti-Air-Sepatu-Peralatan-Mandi-i.79884755.10045572065
244208198,hestyputri28,KAB. KEBUMEN,5058930798,TAS Sepatu FUTSAL PRIA & WANITA,2037,1141,13096,,1366,20000.0,20000.0,20000.0,0,0,,https://shopee.co.id/TAS-Sepatu-FUTSAL-PRIA-&-WANITA-i.244208198.5058930798
65809881,paperbag_garuda,KAB. KUDUS,1509994225,"Paper Bag Murah, Tas Kertas POLOS Besar Kraf Cokelat Size P25 L10 T32 READY STOCK",857,1141,4011,,44,1400.0,1400.0,1400.0,0,0,,"https://shopee.co.id/Paper-Bag-Murah,-Tas-Kertas-POLOS-Besar-Kraf-Cokelat-Size-P25-L10-T32-READY-STOCK-i.65809881.1509994225"
224633878,modeshopwedding,KAB. JEPARA,4016848220,Tas Totebag blacu souvenir pernikahan wedding 30X35 Cm,13858,2226,26963,,562,4784.0,4784.0,4784.0,5200.0,5200.0,8%,https://shopee.co.id/Tas-Totebag-blacu-souvenir-pernikahan-wedding-30X35-Cm-i.224633878.4016848220
84096227,rd.bag,KAB. KUDUS,1659554399,Tas ultah custom / goodiebag custom,36345,2223,61214,Tidak Ada Merek,1038,2999.0,2999.0,2999.0,0,0,,https://shopee.co.id/Tas-ultah-custom---goodiebag-custom-i.84096227.1659554399
226244339,athasouvenir,KAB. KUDUS,3617025624,TAS AQIQAH / TAS HANTARAN BERKAT / TAS BERKAT / TAS AQIQOH / TAS SOUVENIR / TAS HAJATAN,27016765,2210,50842,Tidak Ada Merek,1097,3500.0,3500.0,4500.0,0,0,,https://shopee.co.id/TAS-AQIQAH---TAS-HANTARAN-BERKAT---TAS-BERKAT---TAS-AQIQOH---TAS-SOUVENIR---TAS-HAJATAN-i.226244339.3617025624
75103213,muria_store18,KAB. KUDUS,8994231283,Tas Mika Custom 26 X 14 X 20 (pxlxt),630,2054,18255,,272,3300.0,3300.0,3300.0,0,0,,https://shopee.co.id/Tas-Mika-Custom-26-X-14-X-20-(pxlxt)-i.75103213.8994231283
19314516,lameera.id,KAB. SEMARANG,324283211,POUCH BLACU CUSTOM (Belacu Putih Tulang),873962,2116,53139,,2644,999.0,999.0,3500.0,0,0,,https://shopee.co.id/POUCH-BLACU-CUSTOM-(Belacu-Putih-Tulang)-i.19314516.324283211
184966241,tazkiyasouvenir,KAB. MAGELANG,4246525655,Souvenir Nikah Centong Spatula Kemas Paperbag Unik Murah,86683,2106,23835,Tidak Ada Merek,164,2880.0,2880.0,2880.0,3200.0,3200.0,10%,https://shopee.co.id/Souvenir-Nikah-Centong-Spatula-Kemas-Paperbag-Unik-Murah-i.184966241.4246525655
404531760,zellysouvenir,KAB. KUDUS,8183820473,P.25 T.20 L.10 TAS JINJING SOUVENIR/GOODIE BAG POLOS/TAS MIKA PVC/TAS JINJING MIKA POLOS/TAS ULTAH,22989,2105,33047,,2047,4200.0,4200.0,4200.0,0,0,,https://shopee.co.id/P.25-T.20-L.10-TAS-JINJING-SOUVENIR-GOODIE-BAG-POLOS-TAS-MIKA-PVC-TAS-JINJING-MIKA-POLOS-TAS-ULTAH-i.404531760.8183820473
27111856,juraganlabel,KAB. KUDUS,389362970,Plastik plong plus sablon 20*30 tas souvenir tas qurban tas wedding pernikahan,9995085,2100,55096,,1263,750.0,750.0,750.0,0,0,,https://shopee.co.id/Plastik-plong-plus-sablon-20*30-tas-souvenir-tas-qurban-tas-wedding-pernikahan-i.27111856.389362970
116658465,plungscreative,KAB. JEPARA,1897825467,Souvenir Pouch Murah Spunbond Custom Standing Promo Murah Anti Mainstream Shabby Vintage Handmade,22482,2090,77218,Tidak Ada Merek,1967,2500.0,2500.0,2500.0,0,0,,https://shopee.co.id/Souvenir-Pouch-Murah-Spunbond-Custom-Standing-Promo-Murah-Anti-Mainstream-Shabby-Vintage-Handmade-i.116658465.1897825467
475855872,nellabag,KAB. DEMAK,16917975417,tasulangtahuntaacostumkarakter,15704,2089,2109,,1,2495.0,2495.0,2495.0,0,0,,https://shopee.co.id/tasulangtahuntaacostumkarakter-i.475855872.16917975417
79425712,22souvenir,KAB. JEPARA,1475292754,Tas Aqiqah Tas Tasyukuran Tas Berkat,30744,2080,37749,,432,3390.0,3390.0,3780.0,3690.0,3990.0,8%,https://shopee.co.id/Tas-Aqiqah-Tas-Tasyukuran-Tas-Berkat-i.79425712.1475292754
180490914,indowedding,KAB. JEPARA,5681465138,Tas Tasyakuran Aqiqah/Tas Haul/Tas Berkat Pernikahan/Tas Ulang Tahun/Goodie Bag/Tedhak Siten,952730,2075,46899,,924,3300.0,3300.0,3300.0,5000.0,5000.0,34%,https://shopee.co.id/Tas-Tasyakuran-Aqiqah-Tas-Haul-Tas-Berkat-Pernikahan-Tas-Ulang-Tahun-Goodie-Bag-Tedhak-Siten-i.180490914.5681465138
133361847,suchrunsouvenirmagelang,KAB. MAGELANG,2002843350,Sovenir Centong + Paper Bag + Kartu Ucapan,81104,1785,22433,,262,1850.0,1850.0,1850.0,0,0,,https://shopee.co.id/Sovenir-Centong-+-Paper-Bag-+-Kartu-Ucapan-i.133361847.2002843350
100049205,produsenpaperbag,KAB. KUDUS,2134371285,Custom Paperbag Kertas Kraft Putih Free Desain Dengan Sablon,64366,2060,35904,Tidak Ada Merek,1787,1475.0,1475.0,3025.0,0,0,,https://shopee.co.id/Custom-Paperbag-Kertas-Kraft-Putih-Free-Desain-Dengan-Sablon-i.100049205.2134371285
