shopid,username_toko,lokasi_toko,itemid,produk,stok,terjual,histori_terjual,brand,jml_like,harga,harga_min,harga_max,harga_min_sebelum_disc,harga_max_sebelum_disc,diskon,url_produk
295911895,al_sport07,KAB. KLATEN,4751921989,OBRALL!! SEPATU FUTSAL SPECS METASALA NATIV 3 IN ORIGINAL / LS ETNIS SENOPATI SEPATU BATIK / Specs Lightspeed 2 Pro IN / Battlepack IN ORIGINAL,61,11,307,Ortuseight,166,329800.0,329800.0,434800.0,0,0,,https://shopee.co.id/OBRALL!!-SEPATU-FUTSAL-SPECS-METASALA-NATIV-3-IN-ORIGINAL---LS-ETNIS-SENOPATI-SEPATU-BATIK---Specs-Lightspeed-2-Pro-IN---Battlepack-IN-ORIGINAL-i.295911895.4751921989
80148668,ihzacollection,KOTA SURAKARTA (SOLO),4115668216,Tas Sepatu Olahraga Bola Futsal Hitam Black series | Jinjing | Tenteng,139,10,107,Tidak Ada Merek,15,9500.0,9500.0,9500.0,17000.0,17000.0,44%,https://shopee.co.id/Tas-Sepatu-Olahraga-Bola-Futsal-Hitam-Black-series--Jinjing--Tenteng-i.80148668.4115668216
41027785,arena.sport,KAB. BOYOLALI,1588435972,sepatu futsal ortuseight original ukuran 38-43 ortus pandawa Ortus bima arjuna ortus bbs Ortus catalyst,47949,10,97,Nike,45,82500.0,82500.0,140500.0,0,0,,https://shopee.co.id/sepatu-futsal-ortuseight-original-ukuran-38-43-ortus-pandawa-Ortus-bima-arjuna-ortus-bbs-Ortus-catalyst-i.41027785.1588435972
71165866,speed.id,KOTA SEMARANG,7050443948,SPEED - Futsala Arabika 2 - Sepatu Futsal - Sepatu Pria - Sepatu Olahraga size 34-42,632,10,90,Speed,116,89900.0,89900.0,89900.0,169900.0,169900.0,47%,https://shopee.co.id/SPEED---Futsala-Arabika-2---Sepatu-Futsal---Sepatu-Pria---Sepatu-Olahraga-size-34-42-i.71165866.7050443948
460449687,surakartans.id,KAB. BOYOLALI,7691133365,Paket Sepatu Futsal Anak Specs Infinity Lengkap Sepatu Futsal Specs Size Anak - Anak Paket Komplit Futsal Anak Ewaklok Dragon Olahraga Pria Bola Termurah Terbaru Terlaris Diskon Promo Bisa COD Bayar Ditempat Berkualitas,29944,26,345,,112,58000.0,58000.0,108000.0,200000.0,200000.0,71%,https://shopee.co.id/Paket-Sepatu-Futsal-Anak-Specs-Infinity-Lengkap-Sepatu-Futsal-Specs-Size-Anak---Anak-Paket-Komplit-Futsal-Anak-Ewaklok-Dragon-Olahraga-Pria-Bola-Termurah-Terbaru-Terlaris-Diskon-Promo-Bisa-COD-Bayar-Ditempat-Berkualitas-i.460449687.7691133365
389636894,pgssport.id,KOTA SURAKARTA (SOLO),8226915323,Tas Serut | Gymsack String Bag Tas sepatu Futsal Sepakbola,136,26,125,Tidak Ada Merek,15,25900.0,25900.0,25900.0,0,0,,https://shopee.co.id/Tas-Serut--Gymsack-String-Bag-Tas-sepatu-Futsal-Sepakbola-i.389636894.8226915323
554977318,galery_hanna,KAB. KEBUMEN,11960884029,TAS FUTSAL POLOS,564,27,256,,15,16500.0,16500.0,16500.0,0,0,,https://shopee.co.id/TAS-FUTSAL-POLOS-i.554977318.11960884029
29921506,larisa_shoes,KAB. SUKOHARJO,974928004,Paket komplit sepatu futsal BOOT nike hypervenom gred ori terlaris ( cod),136514,25,60,Tidak ada merek,23,119400.0,119400.0,119400.0,199000.0,199000.0,40%,https://shopee.co.id/Paket-komplit-sepatu-futsal-BOOT-nike-hypervenom-gred-ori-terlaris-(-cod)-i.29921506.974928004
496866966,serbamurahstore354,KOTA SURAKARTA (SOLO),7496928131,[TERLARIS ] SEPATU FUTSAL SOL TEBAL MURAH BERKWALITAS LANGSUNG DARI PRODUSEN ( 1kg =2paket) cod Serbamurahs,124,24,1496,,239,68900.0,68900.0,68900.0,0,0,,https://shopee.co.id/[TERLARIS-]-SEPATU-FUTSAL-SOL-TEBAL-MURAH-BERKWALITAS-LANGSUNG-DARI-PRODUSEN-(-1kg-=2paket)-cod-Serbamurahs-i.496866966.7496928131
9632687,juhanto7,KAB. SUKOHARJO,254172150,PAKET KOMPLIT sepatu futsal nike hypervenom mercurial gred original terlaris cod promo 1 kg muat 2,557935,25,2811,Nike,1112,91200.0,91200.0,105000.0,96000.0,105000.0,5%,https://shopee.co.id/PAKET-KOMPLIT-sepatu-futsal-nike-hypervenom-mercurial-gred-original-terlaris-cod-promo-1-kg-muat-2-i.9632687.254172150
77614428,dksportswear,KAB. BOYOLALI,1293473273,[ COD ] PAKET LENGKAP SEPATU FUTSAL TERBARU BEST SELLER GRADE ORIGINAL,984,23,2939,Tidak Ada Merek,2917,127710.0,127710.0,133650.0,129000.0,135000.0,1%,https://shopee.co.id/[-COD-]-PAKET-LENGKAP-SEPATU-FUTSAL-TERBARU-BEST-SELLER-GRADE-ORIGINAL-i.77614428.1293473273
9632687,juhanto7,KAB. SUKOHARJO,208272162,[ paket komplit ] Sepatu futsal adida s x hi komponen ori,593423,25,760,,337,18050.0,18050.0,125000.0,19000.0,125000.0,5%,https://shopee.co.id/[-paket-komplit-]-Sepatu-futsal-adida-s-x-hi-komponen-ori-i.9632687.208272162
6616437,ezdeka.store,KOTA SURAKARTA (SOLO),79387835,(BISA BAYAR DITEMPAT/COD) sepatu futsal nike tiempo paket komplit kaoskaki tas mercurial 2020 pink,495,25,379,,71,78000.0,78000.0,103000.0,0,0,,https://shopee.co.id/(BISA-BAYAR-DITEMPAT-COD)-sepatu-futsal-nike-tiempo-paket-komplit-kaoskaki-tas-mercurial-2020-pink-i.6616437.79387835
154350138,nfasport354,KOTA SURAKARTA (SOLO),5817908489,TAS SHOESBAG TAS JINJINGBRANJANG  BERKUALITAS TASJINJING FUTSAL TAS JINJING SEPATU SEPAK TAS JINJING OLAHRAGA,130,25,373,,75,25000.0,25000.0,25000.0,0,0,,https://shopee.co.id/TAS-SHOESBAG-TAS-JINJINGBRANJANG--BERKUALITAS-TASJINJING-FUTSAL-TAS-JINJING-SEPATU-SEPAK-TAS-JINJING-OLAHRAGA-i.154350138.5817908489
