shopid,username_toko,lokasi_toko,itemid,produk,stok,terjual,histori_terjual,brand,jml_like,harga,harga_min,harga_max,harga_min_sebelum_disc,harga_max_sebelum_disc,diskon,url_produk
16545975,craft_loverz,KAB. TABANAN,3150110835,RHINESTONE BUTTERFLY MINI DECO Bahan Hias Tasbih Digital Aksesoris Tasbih Blink Handmade DIY,5,0,22,Tidak Ada Merek,8,9000.0,9000.0,9000.0,0,0,,https://shopee.co.id/RHINESTONE-BUTTERFLY-MINI-DECO-Bahan-Hias-Tasbih-Digital-Aksesoris-Tasbih-Blink-Handmade-DIY-i.16545975.3150110835
135620961,kripaacc,KAB. BADUNG,4370152963,tasbih Rudraksa original 108,247,0,23,,3,15200.0,15200.0,15200.0,19000.0,19000.0,20%,https://shopee.co.id/tasbih-Rudraksa-original-108-i.135620961.4370152963
16545975,craft_loverz,KAB. TABANAN,4076696082,10pcs METALIC SCARLET FLOWER Bahan Hias Tasbih Digital Aksesoris Tasbih Blink Handmade DIY,9,0,60,,3,12000.0,12000.0,12000.0,0,0,,https://shopee.co.id/10pcs-METALIC-SCARLET-FLOWER-Bahan-Hias-Tasbih-Digital-Aksesoris-Tasbih-Blink-Handmade-DIY-i.16545975.4076696082
16545975,craft_loverz,KAB. TABANAN,7795231249,50pcs SQUARE STARRY ACRYLIC Ukuran Mini Bahan Hias Tombol Tasbih Blink Bahan Craft Handmade DIY,2,1,13,,2,8000.0,8000.0,8000.0,0,0,,https://shopee.co.id/50pcs-SQUARE-STARRY-ACRYLIC-Ukuran-Mini-Bahan-Hias-Tombol-Tasbih-Blink-Bahan-Craft-Handmade-DIY-i.16545975.7795231249
16545975,craft_loverz,KAB. TABANAN,4735478513,SHABBY TEDDY RESIN Bahan Resin Bunga Resin Hias Tasbih Digital Bahan Craft DIY,10,0,20,Tidak Ada Merek,15,9500.0,9500.0,9500.0,0,0,,https://shopee.co.id/SHABBY-TEDDY-RESIN-Bahan-Resin-Bunga-Resin-Hias-Tasbih-Digital-Bahan-Craft-DIY-i.16545975.4735478513
29272013,akaofficialshop,KOTA DENPASAR,8770731529,GIFT BOX SET KADO CEWEK HAMPERS PAKET KADO ULTAH WEDDING MUKENA SAJADAH AL QURAN TASBIH PAKET HADIAH,1976,1,22,,25,34900.0,34900.0,229900.0,34900.0,229900.0,5%,https://shopee.co.id/GIFT-BOX-SET-KADO-CEWEK-HAMPERS-PAKET-KADO-ULTAH-WEDDING-MUKENA-SAJADAH-AL-QURAN-TASBIH-PAKET-HADIAH-i.29272013.8770731529
38145692,raja_haji,KOTA DENPASAR,4936175463,TASBIH DIGITAL | FINGER COUNTER | ELECTROCIN FINGER COUNTER,9,1,18,Tidak Ada Merek,4,10000.0,10000.0,10000.0,0,0,,https://shopee.co.id/TASBIH-DIGITAL-|-FINGER-COUNTER-|-ELECTROCIN-FINGER-COUNTER-i.38145692.4936175463
16545975,craft_loverz,KAB. TABANAN,3935466233,10pcs METALIC MONOCHROME BOW Bahan Hias Tasbih Digital Aksesoris Tasbih Blink Handmade DIY,4,0,29,Tidak Ada Merek,6,12000.0,12000.0,12000.0,0,0,,https://shopee.co.id/10pcs-METALIC-MONOCHROME-BOW-Bahan-Hias-Tasbih-Digital-Aksesoris-Tasbih-Blink-Handmade-DIY-i.16545975.3935466233
29272013,akaofficialshop,KOTA DENPASAR,11310152465,GIFT BOX HAMPERS PAKET KADO CEWEK WANITA MURAH KOMPLIT LENGKAP - MUKENA SAJADAH ALQURAN FREE TASBIH,385,1,11,,7,35000.0,35000.0,235000.0,0,0,,https://shopee.co.id/GIFT-BOX-HAMPERS-PAKET-KADO-CEWEK-WANITA-MURAH-KOMPLIT-LENGKAP---MUKENA-SAJADAH-ALQURAN-FREE-TASBIH-i.29272013.11310152465
16545975,craft_loverz,KAB. TABANAN,8174717495,10pcs CIRCLE TONES ACRYLIC Bahan Hias Tombol Tasbih Blink Tasbih Digital Handmade Craft DIY,5,0,27,,9,6000.0,6000.0,6000.0,0,0,,https://shopee.co.id/10pcs-CIRCLE-TONES-ACRYLIC-Bahan-Hias-Tombol-Tasbih-Blink-Tasbih-Digital-Handmade-Craft-DIY-i.16545975.8174717495
16545975,craft_loverz,KAB. TABANAN,7995232269,25pcs MINI ORCHID FLOWER PEARL Ukuran Mini Hiasan Tasbih Hiasan Kuku Palsu Nail Art Bahan Craft DIY,26,1,17,,1,12500.0,12500.0,12500.0,0,0,,https://shopee.co.id/25pcs-MINI-ORCHID-FLOWER-PEARL-Ukuran-Mini-Hiasan-Tasbih-Hiasan-Kuku-Palsu-Nail-Art-Bahan-Craft-DIY-i.16545975.7995232269
